,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-08-01 00:00:00,12,22.0,1.0,40.0,1.0,-9999.0,1.0,2.9596,1.0,26.2547,1.0,29.2143,1.0,9.7152,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,334.336,1.0,69.5467,1.0,642.818,3.1,0.0,1.0,0.0,1.0,20.1792,1.0,0.775714,1.0
2017-08-01 01:00:00,12,22.0,1.0,40.0,1.0,-9999.0,1.0,0.0597241,1.0,22.942,1.0,23.0017,1.0,10.5897,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.074,1.0,73.0584,1.0,642.516,3.1,0.0,1.0,0.0,1.0,19.5491,1.0,0.641943,1.0
2017-08-01 02:00:00,12,18.0,1.0,34.0,1.0,-9999.0,1.0,0.0,1.0,23.6751,2.6,23.5004,2.6,9.85275,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,324.049,1.0,72.7093,1.0,642.186,3.1,0.0,1.0,0.0,1.0,19.4435,1.0,0.584622,1.0
2017-08-01 03:00:00,12,20.0,1.0,33.0,1.0,-9999.0,1.0,0.0,1.0,22.3548,2.6,21.0695,2.6,9.24882,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,331.318,1.0,74.014,1.0,641.989,3.1,0.0,1.0,0.0,1.0,19.1935,1.0,0.634444,1.0
2017-08-01 04:00:00,12,21.0,1.0,41.0,1.0,-9999.0,1.0,0.741945,1.0,23.8224,1.0,24.5644,1.0,7.62594,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.49,1.0,75.5296,1.0,642.018,3.1,0.0,1.0,0.0,1.0,18.8537,1.0,-9999.0,4.31
2017-08-01 05:00:00,12,27.0,1.0,43.0,1.0,-9999.0,1.0,6.23369,1.0,28.4554,1.0,34.6891,1.0,5.23141,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,326.365,1.0,76.1417,1.0,642.198,3.1,0.0,1.0,0.0,1.0,18.7104,1.0,0.786692,1.0
2017-08-01 06:00:00,12,35.0,1.0,55.0,1.0,-9999.0,1.0,38.1245,1.0,33.7711,1.0,71.2778,1.0,3.11329,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.055,1.0,74.2675,1.0,642.428,3.1,0.0,1.0,0.0,1.0,18.8002,1.0,1.02145,1.0
2017-08-01 07:00:00,12,41.0,1.0,67.0,1.0,-9999.0,1.0,64.3935,1.0,38.8871,1.0,103.281,1.0,2.01796,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.561,1.0,73.7814,1.0,642.738,3.1,0.0,1.0,16.7811,1.0,18.7057,1.0,0.744873,1.0
2017-08-01 08:00:00,12,48.0,1.0,65.0,1.0,-9999.0,1.0,52.2733,1.0,42.354,1.0,94.6273,1.0,4.63239,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.496,1.0,67.0229,1.0,643.052,3.1,0.0,1.0,104.43,1.0,19.7224,1.0,0.549089,1.0
2017-08-01 09:00:00,12,34.0,1.0,64.0,1.0,-9999.0,1.0,33.5306,1.0,40.88,1.0,72.0228,1.0,10.0354,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,335.216,1.0,59.3897,1.0,643.151,3.1,0.0,1.0,260.688,1.0,20.7862,1.0,0.374292,1.0
2017-08-01 10:00:00,12,33.0,1.0,66.0,1.0,-9999.0,1.0,30.4237,1.0,40.5069,1.0,70.4319,1.0,13.4249,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,320.191,1.0,47.8802,1.0,643.091,3.1,0.0,1.0,279.494,1.0,22.4077,1.0,0.588548,1.0
2017-08-01 11:00:00,12,35.0,1.0,56.0,1.0,-9999.0,1.0,28.7568,1.0,40.361,1.0,65.5099,1.0,19.6971,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,338.418,1.0,43.0421,1.0,642.724,3.1,0.0,1.0,450.579,1.0,23.6169,1.0,0.822497,1.0
2017-08-01 12:00:00,12,25.0,1.0,51.0,1.0,-9999.0,1.0,25.0196,1.0,38.7795,1.0,63.3197,1.0,25.3818,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,330.214,1.0,39.0643,1.0,642.074,3.1,0.0,1.0,436.026,1.0,24.8764,1.0,0.689866,1.0
2017-08-01 13:00:00,12,29.0,1.0,62.0,1.0,-9999.0,1.0,22.5266,1.0,40.8523,1.0,62.5148,1.0,26.9524,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.709,1.0,36.0303,1.0,641.252,3.1,0.0,1.0,547.155,1.0,26.0026,1.0,1.00795,1.0
2017-08-01 14:00:00,12,22.0,1.0,55.0,1.0,-9999.0,1.0,34.1644,1.0,46.4154,1.0,77.3482,1.0,20.8951,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,335.026,1.0,35.4948,1.0,640.551,3.1,0.0,1.0,312.606,1.0,26.4918,1.0,0.667571,1.0
2017-08-01 15:00:00,12,25.0,1.0,75.0,2.3,-9999.0,1.0,43.0252,1.0,46.1683,1.0,87.3712,2.3,14.3986,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,333.183,1.0,35.317,1.0,639.906,3.1,0.0,1.0,362.389,1.0,27.1048,1.0,0.520137,1.0
2017-08-01 16:00:00,12,28.0,1.0,65.0,2.3,-9999.0,1.0,45.8068,1.0,48.3415,1.0,90.4385,1.0,12.8127,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.32,1.0,34.4267,1.0,639.427,3.1,0.0,1.0,242.194,1.0,27.0717,1.0,1.12312,1.0
2017-08-01 17:00:00,12,18.0,1.0,-9999.0,4.31,-9999.0,1.0,44.829,1.0,42.7167,1.0,81.845,1.0,13.2032,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,344.316,1.0,33.1865,1.0,639.309,3.1,0.0,1.0,283.103,1.0,27.1839,1.0,0.988512,1.0
2017-08-01 18:00:00,12,21.0,1.0,54.0,1.0,-9999.0,1.0,50.6481,1.0,45.4991,1.0,94.2259,1.0,10.2425,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,347.117,1.0,35.4314,1.0,639.542,3.1,0.0,1.0,101.348,1.0,26.7065,1.0,0.777748,1.0
2017-08-01 19:00:00,12,35.0,1.0,87.0,2.3,-9999.0,1.0,78.2674,2.3,50.6164,1.0,127.123,2.3,3.38233,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,350.299,1.0,52.4678,1.0,640.161,3.1,0.0,1.0,1.2075,1.0,23.8501,1.0,0.724446,1.0
2017-08-01 20:00:00,12,33.0,1.0,61.0,1.0,-9999.0,1.0,46.8373,1.0,44.724,1.0,89.0155,1.0,2.02587,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,282.121,1.0,55.8146,1.0,640.892,3.1,0.0,1.0,0.0,1.0,23.0024,1.0,0.260133,1.0
2017-08-01 21:00:00,12,31.0,1.0,60.0,1.0,-9999.0,1.0,33.386,1.0,39.4878,1.0,72.8738,1.0,2.49524,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,341.279,1.0,65.0461,1.0,641.519,3.1,0.0,1.0,0.0,1.0,21.8582,1.0,0.556622,1.0
2017-08-01 22:00:00,12,28.0,1.0,49.0,1.0,-9999.0,1.0,18.9283,1.0,35.9225,1.0,54.8508,1.0,3.10879,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.069,1.0,70.4829,1.0,642.055,3.1,0.0,1.0,0.0,1.0,21.129,1.0,0.721564,1.0
2017-08-01 23:00:00,12,27.0,1.0,52.0,1.0,-9999.0,1.0,10.9439,1.0,32.6962,1.0,43.6401,1.0,3.36777,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.01,1.0,72.4271,1.0,642.394,3.1,0.0,1.0,0.0,1.0,20.7771,1.0,0.584531,1.0
2017-08-02 00:00:00,12,24.0,1.0,38.0,1.0,-9999.0,1.0,5.68573,1.0,25.8198,1.0,31.5055,1.0,6.56583,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.41,1.0,75.0845,1.0,642.182,3.1,0.0,1.0,0.0,1.0,20.1424,1.0,0.50383,1.0
2017-08-02 01:00:00,12,26.0,1.0,45.0,1.0,-9999.0,1.0,3.5117,1.0,25.1764,1.0,28.6881,1.0,5.26991,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,336.246,1.0,77.0008,1.0,641.974,3.1,0.0,1.0,0.0,1.0,19.6722,1.0,0.600156,1.0
2017-08-02 02:00:00,12,26.0,1.0,30.0,1.0,-9999.0,1.0,2.38361,1.0,22.214,1.0,24.5976,1.0,6.78776,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.402,1.0,78.2631,1.0,641.544,3.1,0.0,1.0,0.0,1.0,19.2451,1.0,0.701725,1.0
2017-08-02 03:00:00,12,26.0,1.0,33.0,1.0,-9999.0,1.0,0.0,1.0,20.9402,2.6,20.269,2.6,7.23506,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,329.583,1.0,77.4235,1.0,641.356,3.1,0.0,1.0,0.0,1.0,19.1869,1.0,0.578212,1.0
2017-08-02 04:00:00,12,-9999.0,4.31,41.0,1.0,-9999.0,1.0,0.0,1.0,22.2363,2.6,21.7144,2.6,6.64962,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,321.321,1.0,77.439,1.0,641.27,3.1,0.0,1.0,0.0,1.0,19.0454,1.0,-9999.0,4.31
2017-08-02 05:00:00,12,-9999.0,4.31,42.0,1.0,-9999.0,1.0,18.1498,1.0,28.5823,1.0,46.1686,1.0,3.10488,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.647,1.0,79.0472,1.0,641.239,3.1,0.0,1.0,0.0,1.0,18.7755,1.0,0.487776,1.0
2017-08-02 06:00:00,12,-9999.0,4.31,55.0,1.0,-9999.0,1.0,42.4162,1.0,31.914,1.0,74.3302,1.0,1.65081,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,325.052,1.0,77.8549,1.0,641.477,3.1,0.0,1.0,0.0,1.0,18.7229,1.0,-9999.0,4.31
2017-08-02 07:00:00,12,-9999.0,4.31,66.0,1.0,-9999.0,1.0,80.8528,1.0,35.7194,1.0,116.572,1.0,1.54151,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.472,1.0,75.6614,1.0,641.809,3.1,0.0,1.0,13.3908,1.0,18.9338,1.0,0.768354,1.0
2017-08-02 08:00:00,12,-9999.0,4.31,75.0,1.0,-9999.0,1.0,73.0802,1.0,37.6202,1.0,110.7,1.0,3.3437,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,341.46,1.0,69.867,1.0,642.112,3.1,0.0,1.0,174.127,1.0,20.1223,1.0,0.743653,1.0
2017-08-02 09:00:00,12,-9999.0,4.31,63.0,1.0,-9999.0,1.0,37.5183,1.0,35.2997,1.0,71.2439,1.0,9.75891,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.181,1.0,58.0039,1.0,642.163,3.1,0.0,1.0,370.672,1.0,21.9719,1.0,0.907176,1.0
2017-08-02 10:00:00,12,-9999.0,4.31,65.0,1.0,-9999.0,1.0,35.7724,1.0,38.4384,1.0,73.2975,1.0,14.1136,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.434,1.0,48.8741,1.0,642.008,3.1,0.0,1.0,527.57,1.0,23.9353,1.0,0.848143,1.0
2017-08-02 11:00:00,12,995.0,4.2995,55.0,2.6,-9999.0,1.0,18.6713,1.0,34.3651,1.0,52.2438,1.0,20.5452,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,356.586,1.0,39.9127,1.0,641.437,3.1,0.0,1.0,697.469,1.0,25.6632,1.0,-9999.0,4.31
2017-08-02 12:00:00,12,22.0,1.0,38.0,1.0,-9999.0,1.0,17.7502,1.0,33.9523,1.0,49.8755,1.0,25.6572,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,331.084,1.0,33.7115,1.0,640.612,3.1,0.0,1.0,825.242,1.0,27.2376,1.0,0.563779,1.0
2017-08-02 13:00:00,12,13.0,1.0,48.0,1.0,-9999.0,1.0,11.071,1.0,34.7821,1.0,45.0573,1.0,30.7484,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.353,1.0,31.5103,1.0,639.825,3.1,0.0,1.0,862.407,1.0,28.4842,1.0,0.646579,1.0
2017-08-02 14:00:00,12,17.0,1.0,55.0,1.0,-9999.0,1.0,15.0731,1.0,33.6513,1.0,48.7243,1.0,24.708,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.537,1.0,30.4293,1.0,639.107,3.1,0.0,1.0,874.064,1.0,29.7031,1.0,0.734513,1.0
2017-08-02 15:00:00,12,27.0,1.0,58.0,1.0,-9999.0,1.0,29.7604,1.0,38.1552,1.0,64.9383,1.0,19.4271,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.385,1.0,27.0314,1.0,638.458,3.1,0.0,1.0,691.386,1.0,30.8308,1.0,0.97988,1.0
2017-08-02 16:00:00,12,21.0,1.0,56.0,1.0,-9999.0,1.0,47.0236,1.0,49.7756,1.0,88.4088,1.0,15.3265,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.198,1.0,30.4641,1.0,638.125,3.1,0.0,1.0,387.234,1.0,29.9672,1.0,1.46559,1.0
2017-08-02 17:00:00,12,20.0,1.0,69.0,2.3,-9999.0,1.0,46.4462,1.0,45.724,1.0,89.2885,1.0,10.904,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,342.558,1.0,35.0831,1.0,638.4,3.1,0.0,1.0,190.565,1.0,28.421,1.0,1.05525,1.0
2017-08-02 18:00:00,12,30.0,1.0,76.0,1.0,-9999.0,1.0,57.5434,1.0,51.7854,1.0,107.884,1.0,6.28432,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,340.853,1.0,42.5447,1.0,638.987,3.1,0.0,1.0,39.7311,1.0,26.6061,1.0,1.07429,1.0
2017-08-02 19:00:00,12,31.0,1.0,78.0,1.0,-9999.0,1.0,54.7695,1.0,45.9338,1.0,91.8796,1.0,6.34668,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.967,1.0,46.1986,1.0,639.591,3.1,0.0,1.0,1.37694,1.0,25.5542,1.0,1.31416,1.0
2017-08-02 20:00:00,12,22.0,1.0,61.0,1.0,-9999.0,1.0,40.909,1.0,44.8135,1.0,85.2986,1.0,6.09626,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,333.193,1.0,53.4446,1.0,640.191,3.1,0.0,1.0,0.0,1.0,24.3106,1.0,1.15999,1.0
