,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-09-01 00:00:00,12,22.0,2.6,20.0,2.6,-9999.0,1.0,1.06517,1.0,17.4121,1.0,18.4773,1.0,8.24096,1.0,4.24242,3.1,-9999.0,1.0,-9999.0,1.0,214.032,1.0,81.0326,1.0,642.143,3.1,2.2,1.0,0.0,1.0,18.7207,1.0,0.161251,1.0
2016-09-01 01:00:00,12,20.0,1.0,29.0,1.0,-9999.0,1.0,1.66979,1.0,16.879,1.0,18.5488,1.0,6.90137,1.0,4.89477,3.1,-9999.0,1.0,-9999.0,1.0,144.088,1.0,80.8995,1.0,641.737,3.1,0.3,1.0,0.0,1.0,18.5354,1.0,0.18437,1.0
2016-09-01 02:00:00,12,17.0,1.0,34.0,1.0,-9999.0,1.0,1.64947,1.0,19.4991,1.0,21.1486,1.0,4.63844,1.0,5.76623,3.1,-9999.0,1.0,-9999.0,1.0,162.046,1.0,83.1757,1.0,641.303,3.1,2.7,1.0,0.0,1.0,18.2428,1.0,0.0938043,1.0
2016-09-01 03:00:00,12,33.0,2.6,18.0,2.6,-9999.0,1.0,0.0,1.0,8.80944,2.6,8.31991,2.6,10.998,1.0,6.18279,3.1,-9999.0,1.0,-9999.0,1.0,197.476,1.0,83.5495,1.0,641.174,3.1,0.6,1.0,0.0,1.0,17.5345,1.0,0.0101863,1.0
2016-09-01 04:00:00,12,21.0,1.0,34.0,1.0,-9999.0,1.0,2.48148,1.0,18.4645,1.0,20.946,1.0,5.3835,1.0,5.98595,3.1,-9999.0,1.0,-9999.0,1.0,162.247,1.0,83.2805,1.0,641.014,3.1,0.0,1.0,0.0,1.0,18.006,1.0,0.0569191,1.0
2016-09-01 05:00:00,12,25.0,1.0,27.0,1.0,-9999.0,1.0,14.8171,1.0,21.7064,1.0,36.5236,1.0,2.77151,1.0,7.06733,3.1,-9999.0,1.0,-9999.0,1.0,0.904934,1.0,81.589,1.0,641.124,3.1,0.0,1.0,0.0,1.0,18.0562,1.0,-9999.0,4.31
2016-09-01 06:00:00,12,23.0,1.0,39.0,1.0,-9999.0,1.0,35.3591,1.0,26.3208,1.0,61.6799,1.0,0.819693,1.0,7.32828,3.1,-9999.0,1.0,-9999.0,1.0,265.742,1.0,79.3822,1.0,641.404,3.1,0.0,1.0,0.0,1.0,18.2276,1.0,0.210647,1.0
2016-09-01 07:00:00,12,32.0,1.0,51.0,1.0,-9999.0,1.0,57.6264,1.0,32.7939,1.0,88.8076,1.0,0.515898,1.0,7.69429,3.1,-9999.0,1.0,-9999.0,1.0,188.144,1.0,75.4604,1.0,642.076,3.1,0.0,1.0,14.2689,1.0,18.6864,1.0,0.489838,1.0
2016-09-01 08:00:00,12,40.0,1.0,101.0,1.0,-9999.0,1.0,85.5552,1.0,31.1725,1.0,116.728,1.0,0.688332,1.0,7.81227,3.1,-9999.0,1.0,-9999.0,1.0,223.833,1.0,76.7817,1.0,642.904,3.1,0.4,1.0,9.70056,1.0,19.0882,1.0,0.756146,1.0
2016-09-01 09:00:00,12,63.0,1.0,81.0,1.0,-9999.0,1.0,118.36,1.0,36.8967,1.0,154.608,1.0,0.571417,2.1,7.60369,3.1,-9999.0,1.0,-9999.0,1.0,236.906,1.0,84.5198,1.0,643.518,3.1,2.0,1.0,24.2731,1.0,18.2173,1.0,0.261361,1.0
