,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-10-01 00:00:00,12,45.0,1.0,77.0,1.0,-9999.0,1.0,80.8403,1.0,39.2938,1.0,120.134,1.0,1.49527,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,205.75,1.0,80.2604,1.0,640.566,3.1,0.0,1.0,0.0,1.0,18.7644,1.0,1.57115,1.0
2017-10-01 01:00:00,12,47.0,1.0,81.0,1.0,-9999.0,1.0,84.0984,1.0,35.3717,1.0,119.47,1.0,1.54985,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,229.577,1.0,81.0775,1.0,640.321,3.1,0.1,1.0,0.0,1.0,18.6663,1.0,1.39836,1.0
2017-10-01 02:00:00,12,41.0,1.0,65.0,1.0,-9999.0,1.0,62.7169,1.0,30.3943,1.0,93.1112,1.0,1.44109,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,270.493,1.0,81.3736,1.0,639.986,3.1,0.0,1.0,0.0,1.0,18.4264,1.0,1.90456,1.0
2017-10-01 03:00:00,12,47.0,1.0,68.0,1.0,-9999.0,1.0,95.5195,1.0,31.6522,2.1,127.172,1.0,1.57902,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,297.335,1.0,83.7647,1.0,639.508,3.1,0.0,1.0,0.0,1.0,18.2819,1.0,1.20408,1.0
2017-10-01 04:00:00,12,48.0,1.0,69.0,1.0,-9999.0,1.0,81.9909,1.0,35.8884,2.1,117.879,1.0,1.52104,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,287.922,1.0,85.2391,1.0,639.338,3.1,0.0,1.0,0.0,1.0,18.0008,1.0,0.971996,1.0
2017-10-01 05:00:00,12,23.0,1.0,50.0,1.0,-9999.0,1.0,47.2743,1.0,25.6804,1.0,72.9547,1.0,1.3736,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,195.705,1.0,78.976,1.0,639.443,3.1,0.0,1.0,0.0,1.0,17.9332,1.0,0.712398,1.0
2017-10-01 06:00:00,12,27.0,1.0,55.0,1.0,-9999.0,1.0,46.6356,1.0,23.624,1.0,70.2595,1.0,1.43812,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,214.991,1.0,77.9726,1.0,639.842,3.1,0.0,1.0,0.0,1.0,17.6834,1.0,1.38611,1.0
2017-10-01 07:00:00,12,31.0,1.0,66.0,1.0,-9999.0,1.0,64.3049,1.0,26.8109,1.0,91.1158,1.0,1.57033,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,236.454,1.0,76.1978,1.0,640.3,3.1,0.0,1.0,18.9892,1.0,17.8165,1.0,0.974022,1.0
2017-10-01 08:00:00,12,39.0,1.0,66.0,1.0,-9999.0,1.0,55.6241,1.0,32.2678,1.0,87.892,1.0,3.09991,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,216.72,1.0,73.0699,1.0,640.583,3.1,0.0,1.0,143.665,1.0,18.5304,1.0,0.991513,1.0
2017-10-01 09:00:00,12,51.0,1.0,74.0,1.0,-9999.0,1.0,27.6076,1.0,44.3797,1.0,71.9873,1.0,13.1535,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,142.214,1.0,66.5434,1.0,640.713,3.1,0.0,1.0,396.44,1.0,20.1412,1.0,0.238806,1.0
2017-10-01 10:00:00,12,48.0,1.0,65.0,1.0,-9999.0,1.0,8.08888,1.0,40.0695,1.0,48.1584,1.0,30.5435,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.9339,1.0,59.7897,1.0,640.66,3.1,0.0,1.0,442.204,1.0,21.6598,1.0,0.296032,1.0
2017-10-01 11:00:00,12,31.0,1.0,45.0,1.0,-9999.0,1.0,0.52547,1.0,25.5085,1.0,25.577,1.0,43.0646,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,36.9935,1.0,49.957,1.0,640.128,3.1,0.0,1.0,815.255,1.0,23.8051,1.0,0.45947,1.0
2017-10-01 12:00:00,12,21.0,1.0,38.0,1.0,-9999.0,1.0,0.0,1.0,21.4352,2.6,18.001,2.6,55.1854,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,231.835,1.0,41.7504,1.0,639.159,3.1,0.0,1.0,885.402,1.0,25.7967,1.0,0.289363,1.0
2017-10-01 13:00:00,12,21.0,1.0,42.0,1.0,-9999.0,1.0,0.0,3.0,24.3142,2.6,19.8171,2.6,72.6428,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,182.902,1.0,41.2762,1.0,638.267,3.1,0.0,1.0,470.638,1.0,26.0598,1.0,0.97824,1.0
2017-10-01 14:00:00,12,13.0,1.0,40.0,1.0,-9999.0,1.0,0.0,3.0,27.5617,2.6,25.6268,2.6,51.1731,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,133.019,1.0,51.8649,1.0,637.895,3.1,0.5,1.0,175.544,1.0,23.9931,1.0,0.434146,1.0
2017-10-01 15:00:00,12,23.0,1.0,35.0,1.0,-9999.0,1.0,0.0,3.0,40.9782,2.6,40.6844,2.6,20.2105,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,194.582,1.0,81.2874,1.0,637.982,3.1,0.4,1.0,33.7314,1.0,19.1112,1.0,0.35498,1.0
2017-10-01 16:00:00,12,24.0,1.0,43.0,1.0,-9999.0,1.0,21.0027,1.0,48.9178,1.0,69.9205,1.0,13.7766,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,252.523,1.0,73.991,1.0,637.576,3.1,0.0,1.0,59.0086,1.0,20.1261,1.0,0.433877,1.0
