,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-08-01 00:00:00,12,17.0,1.0,41.0,1.0,-9999.0,1.0,7.62786,1.0,17.2852,1.0,24.9131,1.0,2.4182,1.0,1.24722,1.0,-9999.0,1.0,-9999.0,1.0,7.1208,1.0,70.1141,1.0,640.117,3.1,0.0,1.0,0.0,1.0,21.3972,1.0,0.924527,1.0
2016-08-01 01:00:00,12,17.0,3.0,34.0,1.0,-9999.0,1.0,4.36767,1.0,16.4156,1.0,20.7833,1.0,3.3538,1.0,1.45873,1.0,-9999.0,1.0,-9999.0,1.0,5.62412,1.0,68.4762,1.0,639.894,3.1,0.0,1.0,0.0,1.0,21.0929,1.0,0.741,1.0
2016-08-01 02:00:00,12,17.0,3.0,33.0,1.0,-9999.0,1.0,6.93562,1.0,14.624,1.0,21.5596,1.0,2.9975,1.0,1.28985,1.0,-9999.0,1.0,-9999.0,1.0,18.6197,1.0,72.5197,1.0,639.531,3.1,0.0,1.0,0.0,1.0,20.7631,1.0,0.620596,1.0
2016-08-01 03:00:00,12,25.0,1.0,36.0,1.0,-9999.0,1.0,2.79912,1.0,12.2746,1.0,15.0737,1.0,3.94758,1.0,1.21411,1.0,-9999.0,1.0,-9999.0,1.0,2.71589,1.0,73.9575,1.0,639.626,3.1,0.0,1.0,0.0,1.0,20.6036,1.0,0.586822,1.0
2016-08-01 04:00:00,12,14.0,1.0,30.0,1.0,-9999.0,1.0,4.5336,1.0,14.5782,1.0,19.1118,1.0,2.4773,1.0,1.15521,1.0,-9999.0,1.0,-9999.0,1.0,358.386,1.0,78.4786,1.0,639.815,3.1,0.0,1.0,0.0,1.0,20.211,1.0,0.727534,1.0
2016-08-01 05:00:00,12,23.0,1.0,32.0,1.0,-9999.0,1.0,9.32062,1.0,15.5472,1.0,24.8678,1.0,1.25052,1.0,1.19421,1.0,-9999.0,1.0,-9999.0,1.0,9.72135,1.0,82.4517,1.0,640.024,3.1,0.4,1.0,0.0,1.0,19.5399,1.0,0.893745,1.0
2016-08-01 06:00:00,12,22.0,1.0,33.0,1.0,-9999.0,1.0,25.5431,1.0,20.413,1.0,45.9561,1.0,1.49295,1.0,1.57377,1.0,-9999.0,1.0,-9999.0,1.0,14.4922,1.0,78.2425,1.0,640.139,3.1,0.0,1.0,0.0,1.0,19.0733,1.0,1.22246,1.0
2016-08-01 07:00:00,12,25.0,1.0,58.0,1.0,-9999.0,1.0,52.6041,1.0,25.6298,1.0,78.2338,1.0,0.505655,1.0,2.02029,1.0,-9999.0,1.0,-9999.0,1.0,14.7329,1.0,77.5446,1.0,640.349,3.1,0.0,1.0,16.6961,1.0,18.6099,1.0,1.17542,1.0
2016-08-01 08:00:00,12,31.0,1.0,71.0,1.0,-9999.0,1.0,47.567,1.0,22.802,1.0,69.737,1.0,1.2846,1.0,2.09366,1.0,-9999.0,1.0,-9999.0,1.0,14.2213,1.0,74.1942,1.0,640.785,3.1,0.0,1.0,99.6353,1.0,18.9607,1.0,1.37711,1.0
2016-08-01 09:00:00,12,37.0,1.0,73.0,1.0,-9999.0,1.0,38.4947,1.0,24.2766,1.0,62.2269,1.0,3.7387,1.0,1.99833,1.0,-9999.0,1.0,-9999.0,1.0,16.5732,1.0,64.9571,1.0,641.242,3.1,0.1,1.0,328.642,1.0,20.7395,1.0,0.965153,1.0
2016-08-01 10:00:00,12,27.0,1.0,55.0,1.0,-9999.0,1.0,19.1069,1.0,31.6469,1.0,50.7538,1.0,11.6487,1.0,1.826,1.0,-9999.0,1.0,-9999.0,1.0,283.539,1.0,51.5565,1.0,640.987,3.1,0.0,1.0,508.07,1.0,23.217,1.0,0.268761,1.0
2016-08-01 11:00:00,12,23.0,1.0,48.0,1.0,-9999.0,1.0,18.8744,1.0,34.1919,1.0,51.5785,1.0,19.1134,1.0,1.93701,1.0,-9999.0,1.0,-9999.0,1.0,42.2542,1.0,38.4694,1.0,640.242,3.1,0.0,1.0,703.419,1.0,25.8328,1.0,0.515378,1.0
2016-08-01 12:00:00,12,31.0,1.0,51.0,1.0,-9999.0,1.0,21.6211,1.0,35.8405,1.0,54.4451,1.0,22.9608,1.0,2.19929,1.0,-9999.0,1.0,-9999.0,1.0,351.865,1.0,31.6806,1.0,639.533,3.1,0.0,1.0,796.142,1.0,27.8517,1.0,0.616822,1.0
2016-08-01 13:00:00,12,37.0,1.0,49.0,1.0,-9999.0,1.0,16.9006,1.0,24.4989,1.0,40.7657,1.0,15.6076,1.0,2.59066,1.0,-9999.0,1.0,-9999.0,1.0,65.0822,1.0,23.9715,1.0,638.932,3.1,0.0,1.0,750.272,1.0,29.7556,1.0,0.570486,1.0
2016-08-01 14:00:00,12,15.0,1.0,44.0,1.0,-9999.0,1.0,21.8094,1.0,19.4516,1.0,38.7487,1.0,11.0977,1.0,2.76194,1.0,-9999.0,1.0,-9999.0,1.0,51.8416,1.0,19.547,1.0,638.271,3.1,0.0,1.0,745.75,1.0,30.5644,1.0,0.867911,1.0
2016-08-01 15:00:00,12,14.0,1.0,46.0,1.0,-9999.0,1.0,22.5662,1.0,19.6851,1.0,40.8077,1.0,10.9418,1.0,3.91005,1.0,-9999.0,1.0,-9999.0,1.0,46.055,1.0,20.1535,1.0,637.678,3.1,0.0,1.0,542.746,1.0,31.0391,1.0,1.15588,1.0
