,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-03-01 00:00:00,12,52.0,-1.0,65.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,10.0,-1.0,0.2,-1.0,-9999.0,4.31,-9999.0,1.0,12.752,1.0,70.3271,1.0,638.463,3.1,0.0,1.0,0.0,1.0,22.2978,1.0,1.13379,3.1
2016-03-01 01:00:00,12,51.0,-1.0,59.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,11.0,-1.0,0.2,-1.0,-9999.0,4.31,-9999.0,1.0,5.95178,1.0,71.7237,1.0,638.148,3.1,0.0,1.0,0.0,1.0,21.959,1.0,1.07465,3.1
2016-03-01 02:00:00,12,47.0,-1.0,57.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,8.0,-1.0,0.2,-1.0,-9999.0,4.31,-9999.0,1.0,2.58887,1.0,73.9619,1.0,637.714,3.1,0.0,1.0,0.0,1.0,21.5346,1.0,0.789007,3.1
2016-03-01 03:00:00,12,48.0,-1.0,63.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,5.0,-1.0,0.2,-1.0,-9999.0,4.31,-9999.0,1.0,359.464,1.0,75.5439,1.0,637.34,3.1,0.0,1.0,0.0,1.0,21.2035,1.0,0.581327,3.1
2016-03-01 04:00:00,12,51.0,-1.0,73.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,2.0,-1.0,0.3,-1.0,-9999.0,4.31,-9999.0,1.0,342.679,1.0,76.7697,1.0,637.101,3.1,0.0,1.0,0.0,1.0,20.9758,1.0,0.573688,3.1
2016-03-01 05:00:00,12,56.0,-1.0,80.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,0.0,-1.0,0.4,-1.0,-9999.0,4.31,-9999.0,1.0,10.7245,1.0,76.5345,1.0,637.169,3.1,0.0,1.0,0.0,1.0,20.914,1.0,0.798264,3.1
2016-03-01 06:00:00,12,64.0,-1.0,82.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,0.0,-1.0,0.7,-1.0,-9999.0,4.31,-9999.0,1.0,16.0993,1.0,73.2524,1.0,637.39,3.1,0.0,1.0,0.0,3.0,20.9577,1.0,0.607234,3.1
2016-03-01 07:00:00,12,80.0,-1.0,121.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,0.0,-1.0,1.9,-1.0,-9999.0,4.31,-9999.0,1.0,325.823,1.0,69.4795,1.0,637.758,3.1,0.0,1.0,0.0,3.0,21.3862,1.0,0.490481,3.1
2016-03-01 08:00:00,12,81.0,-1.0,123.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,1.0,-1.0,2.1,-1.0,-9999.0,4.31,-9999.0,1.0,357.396,1.0,65.6411,1.0,638.244,3.1,0.0,1.0,64.3117,1.0,22.2371,1.0,0.209336,3.1
2016-03-01 09:00:00,12,93.0,-1.0,133.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,3.0,-1.0,2.3,-1.0,-9999.0,4.31,-9999.0,1.0,196.312,1.0,60.1702,1.0,638.467,3.1,0.0,1.0,249.657,1.0,23.6789,1.0,0.364143,3.1
