,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-01-01 00:00:00,12,34.0,-1.0,47.0,-1.0,-9999.0,1.0,-9964.0,4.1964,-9964.0,4.1964,-9964.0,4.1964,6.45,-1.0,1.186,-1.0,1.08,-1.0,-9999.0,1.0,0.948353,1.0,60.2496,1.0,635.766,3.1,0.0,1.0,0.0,1.0,23.6585,1.0,0.883635,3.1
2016-01-01 01:00:00,12,68.0,-1.0,97.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,6.88,-1.0,0.87,-1.0,-9999.0,4.31,-9999.0,1.0,12.0401,1.0,62.9438,1.0,635.377,3.1,0.0,1.0,0.0,1.0,23.0887,1.0,1.08247,3.1
2016-01-01 02:00:00,12,61.0,-1.0,84.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,5.94,-1.0,0.87,-1.0,-9999.0,4.31,-9999.0,1.0,15.7301,1.0,63.8829,1.0,635.165,3.1,0.0,1.0,0.0,1.0,22.5558,1.0,0.94005,3.1
2016-01-01 03:00:00,12,54.0,-1.0,69.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,4.99,-1.0,0.79,-1.0,-9999.0,4.31,-9999.0,1.0,17.1637,1.0,67.0836,1.0,634.696,3.1,0.0,1.0,0.0,1.0,21.7165,1.0,1.50395,3.1
2016-01-01 04:00:00,12,56.0,-1.0,78.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,3.24,-1.0,1.0,-1.0,-9999.0,4.31,-9999.0,1.0,357.328,1.0,65.2183,1.0,634.73,3.1,0.0,1.0,0.0,1.0,21.5495,1.0,0.679472,3.1
2016-01-01 05:00:00,12,52.0,-1.0,61.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,1.94,-1.0,0.97,-1.0,-9999.0,4.31,-9999.0,1.0,357.755,1.0,65.9702,1.0,635.175,3.1,0.0,1.0,0.0,1.0,21.3056,1.0,0.586858,3.1
2016-01-01 06:00:00,12,39.0,-1.0,52.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,2.24,-1.0,0.94,-1.0,-9999.0,4.31,-9999.0,1.0,10.9614,1.0,65.6941,1.0,635.607,3.1,0.0,1.0,0.0,1.0,21.1032,1.0,0.620768,3.1
2016-01-01 07:00:00,12,47.0,-1.0,61.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,1.06,-1.0,1.13,-1.0,-9999.0,4.31,-9999.0,1.0,341.616,1.0,68.1861,1.0,636.0,3.1,0.0,1.0,0.018261,1.0,20.9498,1.0,0.294715,3.1
2016-01-01 08:00:00,12,36.0,-1.0,54.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,4.63,-1.0,0.75,-1.0,-9999.0,4.31,-9999.0,1.0,3.05665,1.0,64.3038,1.0,636.41,3.1,0.0,1.0,55.8188,1.0,21.652,1.0,0.655725,3.1
2016-01-01 09:00:00,12,26.0,-1.0,47.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,12.53,-1.0,0.39,-1.0,-9999.0,4.31,-9999.0,1.0,8.68453,1.0,58.051,1.0,636.808,3.1,0.0,1.0,128.395,1.0,22.6422,1.0,0.753801,3.1
2016-01-01 10:00:00,12,26.0,-1.0,32.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,20.32,-1.0,0.24,-1.0,-9999.0,4.31,-9999.0,1.0,322.286,1.0,51.5268,1.0,636.885,3.1,0.0,1.0,431.588,1.0,24.3125,1.0,0.366081,3.1
2016-01-01 11:00:00,12,26.0,-1.0,32.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,27.17,-1.0,0.29,-1.0,-9999.0,4.31,-9999.0,1.0,4.5533,1.0,43.9837,1.0,636.5,3.1,0.0,1.0,510.219,1.0,26.2201,1.0,0.597777,3.1
2016-01-01 12:00:00,12,12.0,-1.0,30.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,31.0,-1.0,0.31,-1.0,-9999.0,4.31,-9999.0,1.0,356.738,1.0,39.3988,1.0,635.865,3.1,0.0,1.0,486.85,1.0,27.4445,1.0,0.365988,3.1
