,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-09-01 00:00:00,12,28.0,1.0,46.0,1.0,-9999.0,1.0,1.47539,1.0,29.7482,1.0,31.2236,1.0,10.9672,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.0301,1.0,75.7915,1.0,641.748,3.1,0.0,1.0,0.0,1.0,20.43,1.0,0.836837,1.0
2017-09-01 01:00:00,12,30.0,1.0,51.0,1.0,-9999.0,1.0,0.0,1.0,26.3226,2.6,25.3008,2.6,14.4528,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,11.2681,1.0,76.3168,1.0,641.84,3.1,0.0,1.0,0.0,1.0,20.0833,1.0,-9999.0,4.31
2017-09-01 02:00:00,12,27.0,1.0,46.0,1.0,-9999.0,1.0,0.0,3.0,24.0044,2.6,22.6935,2.6,13.9557,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.7893,1.0,77.5677,1.0,641.594,3.1,0.0,1.0,0.0,1.0,19.7281,1.0,-9999.0,4.31
2017-09-01 03:00:00,12,24.0,1.0,37.0,1.0,-9999.0,1.0,0.0,3.0,22.8171,2.6,20.6248,2.6,15.1012,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,34.7937,1.0,76.1418,1.0,641.385,3.1,0.0,1.0,0.0,1.0,19.6502,1.0,0.662342,1.0
2017-09-01 04:00:00,12,22.0,1.0,48.0,1.0,-9999.0,1.0,0.0,3.0,24.5251,2.6,24.2831,2.6,12.8154,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.38154,1.0,76.4908,1.0,641.459,3.1,0.0,1.0,0.0,1.0,19.276,1.0,0.769246,1.0
2017-09-01 05:00:00,12,25.0,1.0,56.0,1.0,-9999.0,1.0,10.8015,1.0,30.0253,1.0,40.8268,1.0,5.78083,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.00402,1.0,76.4802,1.0,641.643,3.1,0.0,1.0,0.0,1.0,18.9076,1.0,0.648483,1.0
2017-09-01 06:00:00,12,42.0,1.0,82.0,1.0,-9999.0,1.0,76.7778,1.0,38.5122,1.0,115.29,1.0,1.92358,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,351.62,1.0,75.9853,1.0,641.762,3.1,0.0,1.0,0.0,1.0,18.5704,1.0,1.00459,1.0
2017-09-01 07:00:00,12,44.0,1.0,92.0,1.0,-9999.0,1.0,126.978,2.2,44.369,1.0,170.698,1.0,2.01571,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.426,1.0,68.2362,1.0,642.139,3.1,0.0,1.0,17.7511,1.0,18.8769,1.0,0.92987,1.0
2017-09-01 08:00:00,12,52.0,1.0,102.0,1.0,-9999.0,1.0,104.425,2.2,60.5357,1.0,164.961,1.0,5.40384,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,72.0883,1.0,64.2144,1.0,642.42,3.1,0.0,1.0,220.245,1.0,20.5344,1.0,0.170222,1.0
2017-09-01 09:00:00,12,49.0,1.0,94.0,1.0,-9999.0,1.0,44.2787,1.0,76.9347,1.0,119.899,1.0,21.7415,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,41.1638,1.0,53.974,1.0,642.538,3.1,0.0,1.0,433.508,1.0,22.4094,1.0,0.377517,1.0
2017-09-01 10:00:00,12,29.0,1.0,59.0,1.0,-9999.0,1.0,20.7093,1.0,48.1262,1.0,68.3867,1.0,32.4622,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.3026,1.0,38.4199,1.0,642.452,3.1,0.0,1.0,638.646,1.0,25.0183,1.0,0.537945,1.0
2017-09-01 11:00:00,12,19.0,1.0,43.0,1.0,-9999.0,1.0,12.9618,1.0,36.9695,1.0,48.4422,1.0,42.7168,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,349.066,1.0,27.6084,1.0,641.921,3.1,0.0,1.0,799.264,1.0,27.2195,1.0,0.624104,1.0
2017-09-01 12:00:00,12,13.0,1.0,37.0,1.0,-9999.0,1.0,18.4469,1.0,31.0077,1.0,47.4413,1.0,41.5487,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,46.0568,1.0,20.5398,1.0,641.213,3.1,0.0,1.0,889.27,1.0,29.0683,1.0,0.673578,1.0
2017-09-01 13:00:00,12,13.0,1.0,31.0,1.0,-9999.0,1.0,21.5988,1.0,31.0662,1.0,48.689,1.0,37.1111,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,42.9014,1.0,19.0332,1.0,640.406,3.1,0.0,1.0,904.396,1.0,29.5603,1.0,1.55757,1.0
2017-09-01 14:00:00,12,17.0,1.0,35.0,1.0,-9999.0,1.0,14.6803,1.0,32.5805,1.0,46.8497,1.0,36.421,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,57.6147,1.0,19.7214,1.0,639.779,3.1,0.0,1.0,854.631,1.0,30.0753,1.0,1.0282,1.0
2017-09-01 15:00:00,12,15.0,1.0,41.0,1.0,-9999.0,1.0,21.8806,1.0,29.627,1.0,48.6843,1.0,35.6053,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,34.9233,1.0,18.7066,1.0,639.4,3.1,0.0,1.0,726.385,1.0,30.1936,1.0,1.67485,1.0
2017-09-01 16:00:00,12,15.0,1.0,37.0,1.0,-9999.0,1.0,17.8701,1.0,31.0218,1.0,44.4428,1.0,37.2721,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,58.2509,1.0,18.6691,1.0,639.068,3.1,0.0,1.0,541.253,1.0,30.1318,1.0,1.09464,1.0
2017-09-01 17:00:00,12,22.0,1.0,37.0,1.0,-9999.0,1.0,21.1169,1.0,39.1306,1.0,58.0394,1.0,35.6803,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,111.195,1.0,19.8082,1.0,638.899,3.1,0.0,1.0,317.565,1.0,30.0456,1.0,0.643271,1.0
2017-09-01 18:00:00,12,13.0,1.0,44.0,1.0,-9999.0,1.0,12.7752,1.0,40.3433,1.0,51.7296,1.0,32.9916,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,129.35,1.0,22.24,1.0,639.098,3.1,0.0,1.0,78.873,1.0,28.9764,1.0,0.71739,1.0
2017-09-01 19:00:00,12,23.0,1.0,60.0,1.0,-9999.0,1.0,33.9787,1.0,60.2305,1.0,93.6508,1.0,13.5379,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,83.1069,1.0,25.7609,1.0,639.611,3.1,0.0,1.0,0.0,1.0,27.517,1.0,0.209902,1.0
2017-09-01 20:00:00,12,30.0,1.0,80.0,1.0,-9999.0,1.0,38.7682,1.0,59.9431,1.0,98.7113,1.0,7.58395,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.67521,1.0,37.5939,1.0,640.221,3.1,0.0,1.0,0.0,1.0,25.6022,1.0,0.488546,1.0
2017-09-01 21:00:00,12,31.0,1.0,70.0,1.0,-9999.0,1.0,17.2853,1.0,49.5258,1.0,66.8112,1.0,9.54345,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.33651,1.0,50.0301,1.0,640.819,3.1,0.0,1.0,0.0,1.0,24.1311,1.0,0.596616,1.0
2017-09-01 22:00:00,12,34.0,1.0,54.0,1.0,-9999.0,1.0,13.3215,1.0,47.5759,1.0,60.8974,1.0,9.70307,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,358.632,1.0,57.1994,1.0,641.752,3.1,0.0,1.0,0.0,1.0,23.2238,1.0,0.383488,1.0
2017-09-01 23:00:00,12,33.0,1.0,54.0,1.0,-9999.0,1.0,2.90735,1.0,36.1499,1.0,39.0573,1.0,13.807,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.61696,1.0,61.2336,1.0,641.937,3.1,0.0,1.0,0.0,1.0,22.6136,1.0,0.863348,1.0
2017-09-02 00:00:00,12,33.0,1.0,61.0,1.0,-9999.0,1.0,1.34407,1.0,33.0232,1.0,34.3673,1.0,16.0469,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,357.674,1.0,66.2824,1.0,641.882,3.1,0.0,1.0,0.0,1.0,22.0314,1.0,0.577424,1.0
2017-09-02 01:00:00,12,36.0,1.0,58.0,1.0,-9999.0,1.0,0.79153,1.0,30.3135,1.0,31.105,1.0,15.7673,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.4602,1.0,67.3438,1.0,641.566,3.1,0.0,1.0,0.0,1.0,21.7391,1.0,0.864136,1.0
2017-09-02 02:00:00,12,31.0,1.0,50.0,1.0,-9999.0,1.0,0.0,1.0,28.0793,2.6,26.4444,2.6,15.1603,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.04008,1.0,67.9667,1.0,641.14,3.1,0.0,1.0,0.0,1.0,21.4073,1.0,0.704347,1.0
2017-09-02 03:00:00,12,26.0,1.0,43.0,1.0,-9999.0,1.0,0.491635,1.0,26.211,1.0,26.7027,1.0,16.3498,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.9839,1.0,71.3461,1.0,640.779,3.1,0.0,1.0,0.0,1.0,20.9629,1.0,1.04796,1.0
2017-09-02 04:00:00,12,28.0,1.0,44.0,1.0,-9999.0,1.0,0.691253,1.0,28.7123,1.0,29.4035,1.0,13.1072,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,19.5875,1.0,69.6671,1.0,640.623,3.1,0.0,1.0,0.0,1.0,20.7142,1.0,0.766113,1.0
2017-09-02 05:00:00,12,25.0,1.0,61.0,1.0,-9999.0,1.0,1.9082,1.0,30.9429,1.0,32.8511,1.0,11.4357,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.0111,1.0,68.6562,1.0,640.815,3.1,0.0,1.0,0.0,1.0,20.661,1.0,0.791949,1.0
2017-09-02 06:00:00,12,31.0,1.0,52.0,1.0,-9999.0,1.0,20.0491,1.0,38.4038,1.0,58.4529,1.0,7.64132,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,20.4798,1.0,69.7083,1.0,641.122,3.1,0.0,1.0,0.0986111,1.0,20.3719,1.0,0.903127,1.0
2017-09-02 07:00:00,12,41.0,1.0,74.0,1.0,-9999.0,1.0,35.7345,1.0,42.6458,1.0,78.3804,1.0,4.32671,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,20.9968,1.0,73.2606,1.0,641.633,3.1,0.0,1.0,39.1667,1.0,19.7797,1.0,1.00752,1.0
2017-09-02 08:00:00,12,37.0,1.0,74.0,1.0,-9999.0,1.0,42.4071,1.0,45.7847,1.0,88.1918,1.0,6.19317,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.2843,1.0,70.9175,1.0,642.272,3.1,0.0,1.0,109.684,1.0,20.2808,1.0,0.993837,1.0
2017-09-02 09:00:00,12,39.0,1.0,80.0,1.0,-9999.0,1.0,37.1293,1.0,48.2572,1.0,85.3864,1.0,12.1876,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.2642,1.0,63.4495,1.0,642.494,3.1,0.0,1.0,231.076,1.0,21.6684,1.0,-9999.0,4.31
2017-09-02 10:00:00,12,39.0,1.0,74.0,1.0,-9999.0,1.0,32.1443,1.0,51.9531,1.0,84.0974,1.0,11.3233,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,11.3359,1.0,60.1586,1.0,642.556,3.1,0.0,1.0,122.779,1.0,22.117,1.0,1.03256,1.0
2017-09-02 11:00:00,12,42.0,1.0,73.0,1.0,-9999.0,1.0,40.8646,2.3,53.0852,1.0,93.9498,1.0,13.0078,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.46021,1.0,62.0043,1.0,642.56,3.1,0.0,1.0,214.622,1.0,22.1345,1.0,1.11691,1.0
2017-09-02 12:00:00,12,28.0,1.0,76.0,1.0,-9999.0,1.0,47.143,2.3,47.7181,1.0,90.9899,1.0,13.1494,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,8.72955,1.0,60.0016,1.0,642.237,3.1,0.0,1.0,335.113,1.0,22.1136,1.0,1.73881,1.0
2017-09-02 13:00:00,12,31.0,1.0,65.0,1.0,-9999.0,1.0,36.7229,2.3,45.6926,1.0,80.6591,1.0,17.8719,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.2696,1.0,52.5969,1.0,641.661,3.1,0.0,1.0,314.929,1.0,22.7784,1.0,1.63265,1.0
2017-09-02 14:00:00,12,29.0,1.0,58.0,1.0,-9999.0,1.0,24.4799,1.0,46.2959,1.0,69.1963,1.0,27.0386,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.8932,1.0,45.7587,1.0,640.516,3.1,0.0,1.0,502.125,1.0,24.3013,1.0,1.38648,1.0
2017-09-02 15:00:00,12,30.0,1.0,54.0,1.0,-9999.0,1.0,25.8891,1.0,42.3761,1.0,67.6395,1.0,34.8153,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.4092,1.0,38.0294,1.0,639.717,3.1,0.0,1.0,608.813,1.0,26.0336,1.0,1.21818,1.0
2017-09-02 16:00:00,12,22.0,1.0,58.0,1.0,-9999.0,1.0,22.2041,1.0,46.8719,1.0,69.885,1.0,32.8905,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.3452,1.0,36.2536,1.0,639.151,3.1,0.0,1.0,340.501,1.0,26.7087,1.0,1.02997,1.0
2017-09-02 17:00:00,12,22.0,1.0,51.0,1.0,-9999.0,1.0,23.1563,1.0,46.492,1.0,67.5273,1.0,27.3106,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.05744,1.0,36.2842,1.0,639.381,3.1,0.0,1.0,212.42,1.0,26.8433,1.0,0.612045,1.0
2017-09-02 18:00:00,12,27.0,1.0,68.0,1.0,-9999.0,1.0,43.7559,1.0,63.0937,2.3,106.277,1.0,11.4719,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.9468,1.0,42.5211,1.0,639.629,3.1,0.0,1.0,59.4006,1.0,25.9655,1.0,0.790477,1.0
2017-09-02 19:00:00,12,27.0,1.0,64.0,1.0,-9999.0,1.0,52.1784,1.0,66.081,1.0,116.916,1.0,4.99731,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,8.89673,1.0,51.4235,1.0,640.079,3.1,0.0,1.0,0.0102777,1.0,24.1059,1.0,0.785966,1.0
2017-09-02 20:00:00,12,29.0,1.0,61.0,1.0,-9999.0,1.0,39.1971,1.0,51.8964,1.0,91.0935,1.0,3.19039,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,357.211,1.0,58.0139,1.0,640.934,3.1,0.0,1.0,0.0,1.0,23.1252,1.0,-9999.0,4.31
2017-09-02 21:00:00,12,22.0,1.0,52.0,1.0,-9999.0,1.0,18.3279,1.0,42.0558,1.0,60.3837,1.0,4.88762,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.6582,1.0,62.5067,1.0,641.508,3.1,0.0,1.0,0.0,1.0,22.3877,1.0,0.930677,1.0
2017-09-02 22:00:00,12,19.0,1.0,50.0,1.0,-9999.0,1.0,16.4735,1.0,39.4434,1.0,55.9168,1.0,5.8262,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.64043,1.0,64.694,1.0,641.828,3.1,0.0,1.0,0.0,1.0,21.9754,1.0,0.931398,1.0
2017-09-02 23:00:00,12,29.0,1.0,39.0,1.0,-9999.0,1.0,12.2961,1.0,33.6084,1.0,45.9045,1.0,5.77676,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.3586,1.0,69.9858,1.0,642.053,3.1,0.0,1.0,0.0,1.0,21.4359,1.0,0.961802,1.0
2017-09-03 00:00:00,12,27.0,1.0,48.0,1.0,-9999.0,1.0,11.6337,1.0,33.8107,1.0,45.4443,1.0,4.37473,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.67953,1.0,71.338,1.0,641.954,3.1,0.0,1.0,0.0,1.0,21.1241,1.0,0.72509,1.0
2017-09-03 01:00:00,12,18.0,1.0,37.0,1.0,-9999.0,1.0,5.79949,1.0,28.6045,1.0,34.404,1.0,5.52567,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,11.9359,1.0,73.8119,1.0,641.94,3.1,0.0,1.0,0.0,1.0,20.2593,1.0,0.931301,1.0
