,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-07-01 00:00:00,12,17.0,1.0,51.0,1.0,-9999.0,1.0,28.7381,1.0,33.3567,1.0,62.0948,1.0,1.8416,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.0284,1.0,75.8343,1.0,641.665,3.1,0.0,1.0,0.0,1.0,20.7879,1.0,0.875618,1.0
2017-07-01 01:00:00,12,27.0,1.0,42.0,1.0,-9999.0,1.0,20.0347,1.0,30.5161,1.0,50.5507,1.0,2.10937,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.18085,1.0,76.259,1.0,641.391,3.1,0.0,1.0,0.0,1.0,20.6175,1.0,0.599358,1.0
2017-07-01 02:00:00,12,19.0,1.0,35.0,1.0,-9999.0,1.0,9.10155,1.0,26.0856,1.0,35.1872,1.0,2.48528,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.29106,1.0,78.5666,1.0,641.205,3.1,0.0,1.0,0.0,1.0,20.4307,1.0,0.836162,1.0
2017-07-01 03:00:00,12,20.0,1.0,43.0,1.0,-9999.0,1.0,10.3025,1.0,27.8498,1.0,38.1523,1.0,2.11153,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,55.4116,1.0,76.6503,1.0,641.084,3.1,0.0,1.0,0.0,1.0,20.4921,1.0,0.306733,1.0
2017-07-01 04:00:00,12,14.0,1.0,40.0,1.0,-9999.0,1.0,14.7579,1.0,27.2712,1.0,42.0291,1.0,2.19849,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.2881,1.0,76.1302,1.0,640.836,3.1,0.0,1.0,0.0,1.0,20.3313,1.0,0.672493,1.0
2017-07-01 05:00:00,12,17.0,1.0,41.0,1.0,-9999.0,1.0,33.0453,1.0,26.8049,1.0,59.8502,1.0,1.7186,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,20.2898,1.0,80.0041,1.0,640.484,3.1,0.0,1.0,0.0,1.0,19.9136,1.0,0.639105,1.0
2017-07-01 06:00:00,12,31.0,1.0,53.0,1.0,-9999.0,1.0,82.3338,2.2,31.8783,1.0,114.212,1.0,1.45234,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.1263,1.0,79.6007,1.0,640.519,3.1,0.0,1.0,0.0138888,1.0,19.7995,1.0,0.702464,1.0
2017-07-01 07:00:00,12,37.0,1.0,78.0,1.0,-9999.0,1.0,107.763,2.2,37.1147,1.0,144.227,1.0,1.68468,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,352.74,1.0,77.5932,1.0,640.763,3.1,0.0,1.0,44.1492,1.0,19.9803,1.0,0.827522,1.0
2017-07-01 08:00:00,12,34.0,1.0,74.0,1.0,-9999.0,1.0,74.0285,1.0,46.3095,1.0,120.338,1.0,3.96453,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,256.002,1.0,65.3241,1.0,641.102,3.1,0.0,1.0,294.683,1.0,21.9544,1.0,0.20859,1.0
2017-07-01 09:00:00,12,41.0,1.0,70.0,1.0,-9999.0,1.0,51.0282,1.0,67.904,1.0,118.932,1.0,9.95489,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,180.109,1.0,57.1712,1.0,641.251,3.1,0.0,1.0,394.27,1.0,23.4585,1.0,0.466171,1.0
2017-07-01 10:00:00,12,21.0,1.0,58.0,1.0,-9999.0,1.0,39.5741,1.0,48.0411,1.0,86.299,1.0,15.4115,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,359.139,1.0,41.9863,1.0,640.998,3.1,0.0,1.0,577.958,1.0,26.0646,1.0,0.537108,1.0
2017-07-01 11:00:00,12,17.0,1.0,34.0,1.0,-9999.0,1.0,23.1203,1.0,36.7315,1.0,57.7693,1.0,18.9522,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.92744,1.0,32.1493,1.0,640.57,3.1,0.0,1.0,730.475,1.0,28.1543,1.0,0.427067,1.0
